"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c34c9b81-a42d-47d8-814b-8df6941b9457","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA"
"1310be01-9054-4c42-9e87-14df0f9ce28d","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","South Zone 6"
"6730a0ef-e453-454d-9e09-4cd9e54b6f4e","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B8-3-S-50"
"066e73cc-5054-4836-873f-e992ff491240","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B1-5-S-49"
"dccbd308-02d0-41b9-9706-f10efa02798b","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B1-4-S-48"
"c65dd9ad-f371-4775-a5b2-db6b5cbab748","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B8-2-S-47"
"25f0cd0f-6f8c-44fd-a0f1-893b744a499a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B9-2-S-46"
"de2a5e86-e096-44cb-8711-db8e9e36c477","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B9-1-S-45"
"d2fb0615-ccb7-4f54-86bb-bebfe4e3522f","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B8-1-S-44"
"60d41c4b-0459-44fb-8592-cb5b3f7e4a7e","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B1-3-S-43"
"ce21d52a-5e45-4b17-bf72-28452224b1cc","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B1-2-S-42"
"9c7731e5-f9b1-43aa-a5d6-b50c2bbeb613","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B1-1-S-41"
"2a5b1b2a-4ea2-4a9a-b505-7c836077c491","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A6-4-S-21"
"de37559a-1df4-4b63-b92b-d92d77b507ca","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A7-4-S-20"
"4fcb5666-3efb-4122-a0c5-d2db792c944c","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A7-3-S-19"
"7bb49dfc-df4d-4782-8c94-8f49755c9e17","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A6-3-S-18"
"f1bc6ca1-c347-48ea-a826-fbea67809add","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A5-4-S-17"
"0e433061-3a02-4b66-8c33-c686d182e0e7","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A5-3-S-16"
"d248ae78-05aa-47c4-848c-561ddbc9fdaf","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A6-2-S-15"
"b55cac59-4312-40bb-addf-2792651ea5a2","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A7-1-S-14"
"5eefcf75-51e8-4276-924c-8be09432a6f9","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A7-1-S-13"
"e306639f-3b27-4a92-8ca0-7c8035f7a6aa","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A6-1-S-12"
"b924c1aa-6bd0-450f-bc42-1ea02dcaa51b","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B4-1-S-40"
"5b4b50ca-55aa-4705-8c79-829fa4bde6bd","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B5-1-S-39"
"c484092e-07e3-4e1e-bf27-1b6f7eb320a8","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A5-2-S-11"
"559e1955-4561-434f-9559-6ebd267f6fef","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A5-1-S-10"
"64b7914d-52bc-4eb7-86c7-b3f7686beb8a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A4-1-LO-S-9"
"e98f51a9-4e8f-4ca7-8524-d448a9415fb0","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A3-3-LO-S-8"
"43a3b68b-0758-408a-8564-147a03e9d54e","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A3-2-LO-S-7"
"b3149d39-a44a-4b98-a1ad-9695c476f231","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A3-1-LO-S-6"
"d8f0cf7d-7851-457a-b710-148f47794b62","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A1-4-S-5"
"8e6a0627-77f1-4a7c-86fe-2121351c873b","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A1-3-S-4"
"600be7ef-59d0-4abe-a2b3-074554060214","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A1-2-S-3"
"f32def19-bb47-44c5-8c86-d0846a22abd2","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A1-1-S-2"
"17337fda-a854-44f3-8337-e1743de62654","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A2-1-S-1"
"51c010f8-0807-46a9-ac10-b476d1e851b8","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","South - West Cnr"
"b38b8f90-2f68-4e65-8a7f-b54bdea1f67f","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - West Cnr","H4-1-S-69"
"c7b05435-c3f7-4411-a8d5-d7ced359d8fc","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - West Cnr","H12-1-S-157"
"b2d8fd07-8c9b-4c21-85c1-fe5f1540333d","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - West Cnr","H11-1-S-156"
"529dc53e-7cc6-4038-a6e0-245e78e33048","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - West Cnr","H10-1-S-155"
"8cf6500c-517f-40e8-88f3-dacea4bd03d3","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - West Cnr","H9-1-S-154"
"75e767ea-0a5e-44cc-9632-7a99357f30c7","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - West Cnr","H21-1-W-299"
"00e48779-80d7-4bd9-90a1-0598edc8cc4e","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - West Cnr","H22-1-W-324"
"12b8f171-1d7e-411b-bd55-4b527620d0e3","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","West Zone 6"
"a147415d-9dc5-4b5a-a045-8c5b35e21cab","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","West Zone 6","E-12-W-298"
"a525b402-bf88-439e-ab8b-75ed20e5ef15","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","West Zone 6","E-11-W-297"
"52a5a167-42d7-4440-8732-09d8a868442c","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","West Zone 6","E-10-W-296"
"0c5a4fa0-5582-444b-b47f-579848061c7f","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","West Zone 6","E-9-W-295"
"1c186d56-d5ab-4006-a476-d77c4a114a9a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","West Zone 6","E-5-W-291"
"ea302841-df10-4ca3-bb18-86ac347f5f17","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","West Zone 6","E-4-W-290"
"a3e0770f-2138-4103-8cc0-c0a772b9d058","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","West Zone 6","E-3-W-289"
"11d99f7d-ec7a-4902-85e9-56a1fd7f0bc3","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","West Zone 6","E-2-W-288"
"795f9264-a65a-4df8-9d10-1ac6f79bcd49","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","West Zone 6","E-1-W-287"
"29a1833d-72b9-4265-b1aa-2063d2a2aa31","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","North - West Cnr"
"73c8a4ac-2ede-4631-bcae-c86b0bf3b654","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North - West Cnr","H21-1-W-286"
"701505a7-09bd-4d05-88fa-7804d6887fe4","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North - West Cnr","H20-1-N-223"
"9ae99e60-a08b-421d-861a-583289217616","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North - West Cnr","H19-1-N-222"
"71a19194-4997-4d93-91fc-14079ae0dd06","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","North Zone 6"
"77167164-afd8-416b-a7db-476e412b1a72","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J3-1-N-221"
"30d0db81-a4f4-45a3-8f2f-4bc5c22a00e5","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J7-8-N-220"
"8aa5dc47-c026-4730-ab0b-201ef2840df8","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J4-10-N-219"
"cb1463bd-ef10-4987-8552-dcbafd755562","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J4-9-N-218"
"c549e38c-48d3-4e71-9efe-9850e396c043","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J7-8-N-217"
"6054416b-2c27-4abb-9a85-e232e95f671e","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J6-8-N-216"
"8243fc27-b1f6-42a9-9789-fb8aad8a9be1","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J6-7-N-215"
"c14d4667-1e11-476e-81ca-f6d48107ceb6","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J7-6-N-214"
"15ad67ea-c988-4cb5-b190-217e7695771a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J4-8-N-213"
"31d7301f-dda5-421a-9e7f-b15c8bdb3fb6","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J4-7-N-212"
"b510a61e-45b9-41da-8f28-07c4e4686587","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J7-5-N-211"
"b63d1c18-86b5-4a23-9855-9591a3024de5","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J6-6-N-210"
"6b5c1082-2ee0-4821-ab19-08a202db776f","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J6-5-N-209"
"d31117e5-7276-49ce-91e9-ad788fe55921","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J7-4-N-208"
"9ea9e492-0ef7-4090-bb5b-a937115d09a4","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J4-6-N-207"
"10e2a60a-8e12-4494-8c0a-b4f30b07db9b","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J4-5-N-206"
"c8afd0e6-c6d4-49c7-9451-3d0921f8ac48","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J7-3-N-205"
"0439e4ef-4603-4708-9b1d-37650619ae73","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J6-4-N-204"
"f4deab17-6c5d-4ea6-984f-1bee424f26b7","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J6-3-N-203"
"565f9149-2888-4028-a93d-1373cf321bb2","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J7-2-N-202"
"c2843702-c3a1-4916-b13d-288d41647bb4","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 6","J7-1-N-199"
"c83d0c5a-f41c-4d4a-8650-65c7d3fda01a","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","North Zone 5"
"b32773a0-9e2b-46af-9c6a-5ba84941f7de","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 5","J6-2-N-198"
"a4e0ba67-0695-407e-9503-c53b8a6366cd","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 5","J6-1-N-197"
"7c40eaae-a248-43dd-9726-8bf8cde9f497","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 5","J5-1LO-N-196"
"d1160ece-d64f-4f23-805c-04030e9405d9","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 5","J4-2LO-N-195"
"8672447b-752b-4d14-b799-7c40b193626a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 5","J4-1LO-N-194"
"31ec414b-db36-470c-9ed7-03f41226b06d","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 5","J2-1LO-N-193"
"62b27020-b1b3-479d-b9ee-52c71b3276b2","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","North Zone 5","J1-1-N-192"
"96ca718e-aaf0-4cc5-a376-7c65fadae3b7","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","East - North Cnr"
"8ea77043-1ff7-4d7d-b597-4c6db2e8c6d7","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East - North Cnr","H19-1-N-191"
"7c8af68b-4d82-411e-8d54-5651161bd2d9","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East - North Cnr","H18-1-E-167"
"1c1610e5-5ca6-42f8-894a-bf78f9eb58ca","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East - North Cnr","H17-1-E-166"
"c82faf52-244d-40db-84cc-7e61a479b721","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","East Zone 6"
"4c023f8b-db56-442d-b7cc-d82ee79b012f","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G1-1-E-165"
"ace31e28-6a41-4615-92ef-068751bd9e52","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G2-1-E-164"
"d0e2fd63-924d-4ffa-93e3-07443423b860","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G3-1-E-163"
"094b5052-5a7b-42b6-b58a-e8682c364e6e","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G4-1-E-162"
"41cafeea-61f1-49d6-b8e5-9f9941308242","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G5-1-E-161"
"e1d0af18-9602-4ca5-b07a-602241751647","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G6-1-E-160"
"d947f124-bd01-411f-8663-dce0194c5097","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G7-1-E-159"
"df88efe4-ad59-44d8-9a8b-e7eaed0540d6","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G8-1-E-158"
"4e4c531a-d41f-44c4-96f8-9f90593143f5","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G9-1-E-157"
"bc3c2a3e-d3a5-4bcf-99b5-6ae8d52d94c9","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G12-1-E-170"
"e9f3f3eb-3f79-408d-ba9c-2512d2b11cab","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G11-1-E-155"
"cfb74794-e7f4-4bc7-ad1e-e9cd05da5be0","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G13-1-E-335"
"df96d0b5-3353-4732-9741-c84465b49877","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","East Zone 6","G10-1-E-156"
"703b8bb2-df4b-40b2-9428-5f24407f9e5c","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","South - East Cnr"
"6ddfcd31-988f-44fd-8a54-51e639c13e15","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - East Cnr","H15-1-E-168"
"f0f635e4-dd5c-40fb-a6da-444733df03cb","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - East Cnr","H13-1-E-153"
"d7c4b900-2327-47c5-bfdc-f23b158d4ed8","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - East Cnr","H8-1-S-150"
"54c15bf7-d560-4944-ae79-fb52651355a6","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - East Cnr","H7-1-S-149"
"79987574-2bcb-401b-ba8e-467a9e873afe","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - East Cnr","H6-1-S-148"
"8194fdfa-a9c6-4224-b651-a443c525a0e5","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - East Cnr","H5-1-S-147"
"60d10782-2031-4b20-a9ee-9d599d01c64a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - East Cnr","H2-1-S-67"
"b41596b5-3879-4253-8878-db2b904f7e60","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South - East Cnr","H1-1-S-38"
"8f827d25-bdd0-4be1-a433-75643b695631","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","South Zone 5"
"6874365c-6ec1-4a5f-a5f4-0ba6c434e667","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B3-1-S-66"
"8633335d-18bc-4aa4-a8a3-6e65fe23994a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B2-1-S-65"
"3bcb1562-acbe-4fc4-94be-6ac5824a4e1d","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B12-1-S-64"
"12d5895b-1cf9-4081-ab6a-30c7d68136fd","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B12-1-S-63"
"8ebd87c4-e041-4241-8c68-55f802b26dbc","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A13-1-S-37"
"6cdac5cb-2f93-49d6-b21d-48b0e2731e2d","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A12-1-S-36"
"3b6c64ea-1b04-496d-9188-bc441d315713","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A11-2-S-35"
"760e7814-8d24-4c52-8595-814e97134f7a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A11-1-S-34"
"4ea2af90-2c2b-4ef2-8d71-962c2f25046a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B11-1-LO-S-62"
"c39f203d-c4a9-4234-82b3-08c8ee4a554e","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B10-2-LO-S-61"
"bae6254d-fc87-4a97-b001-798b6e95da8b","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B10-1-LO-S-60"
"f64f24a1-f684-4603-8ae6-41a52553b336","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B13-1-LO-S-59"
"3fe92415-35b8-4c95-a4cf-840e5b315da4","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A10-1-LO-S-33"
"0f6104f0-deab-4f11-b099-facef1cb6b71","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A9-2-LO-S-32"
"5309b2f4-652f-4e15-a3a3-796787e81997","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A9-1-LO-S-31"
"5133778b-5b32-4b18-bdd8-99aef50f23e2","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A8-1-LO-S-30"
"13dedbf1-e535-4178-9f33-11e4e46ad98c","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B9-6-S-58"
