type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Corridors,,,,,,
checkpoint,Hot Water,,,,,,
checkpoint,Cold Water,,,,,,
checkpoint,Hot Water Lagging,,,,,,
checkpoint,Testing,,,,,,
checkpoint,Pipes clipped,,,,,,
checkpoint,Valves Tagged,,,,,,
checkpoint,Door Headers (Fire rated with Hilti 611A),,,,,,
checkpoint,Photos must be attached,,,,,,
,,,,,,,
checklist-flat,Meter Assemblies & Risers,,,,,,
checkpoint,Assembly Complete,,,,,,
checkpoint,Valves Tagged,,,,,,
checkpoint,Pipe Support,,,,,,
