"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1498d376-7f57-4ffb-b158-1223603b955c","","not-started","","folder","TRUE","FALSE","ID3-1(N) Classroom 1"
"b2b91e40-2c30-4cc3-a884-7af07eb37065","","not-started","General Manufacturing Template","checklist","FALSE","FALSE","ID3-1(N) Classroom 1","FACTORY WORKS"
"3764316d-0d5e-43b4-936d-6f843624d4c2","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","ID3-1(N) Classroom 1","Pre-Install Check"
"8163fbac-c10b-47e3-beed-41cacc8648c8","","not-started","Ω (DEPRECATED) Shopfront - Install Checklist (v0)","checklist","FALSE","FALSE","ID3-1(N) Classroom 1","Install Checklist"
"26db40ec-a129-4805-9e24-785ef2b593ca","","not-started","Glazing Checklist","checklist","FALSE","FALSE","ID3-1(N) Classroom 1","Glazing"
"54c843c3-1ee0-4aa9-af0a-ffec259566c1","","not-started","Performance Tests","checklist","FALSE","FALSE","ID3-1(N) Classroom 1","Performance Tests"
"75da4a75-8374-4f67-b447-e1aedabca302","","not-started","Handover Checklist","checklist","FALSE","FALSE","ID3-1(N) Classroom 1","Handover"
"7c1fe936-3295-4d29-b70d-507475656983","","not-started","","folder","TRUE","FALSE","ID3-2(N) Classroom 2"
"b8bea16f-62dc-4c39-a692-367460cc5ae7","","not-started","General Manufacturing Template","checklist","FALSE","FALSE","ID3-2(N) Classroom 2","FACTORY WORKS"
"606eef7c-616d-4c2c-8af9-c5196b2d9944","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","ID3-2(N) Classroom 2","Pre-Install Check"
"4aa49b43-75e2-4b83-938e-e24202766e23","","not-started","Ω (DEPRECATED) Shopfront - Install Checklist (v0)","checklist","FALSE","FALSE","ID3-2(N) Classroom 2","Install Checklist"
"97378ce4-d817-402e-ab29-83ab18c04cbd","","not-started","Glazing Checklist","checklist","FALSE","FALSE","ID3-2(N) Classroom 2","Glazing"
"69b99df6-d59e-4d32-a194-2e4b07ca78a7","","not-started","Performance Tests","checklist","FALSE","FALSE","ID3-2(N) Classroom 2","Performance Tests"
"310b2491-cca6-4864-81cb-4c329f9927d7","","not-started","Handover Checklist","checklist","FALSE","FALSE","ID3-2(N) Classroom 2","Handover"
"ca496ab0-9125-43db-8320-b2809654f545","","not-started","","folder","TRUE","FALSE","ID3-3(N) Classroom 3"
"fdbdc6f0-797e-4c9d-98a8-0ebfb860f9fb","","not-started","General Manufacturing Template","checklist","FALSE","FALSE","ID3-3(N) Classroom 3","FACTORY WORKS"
"a25c0b04-4c6e-47b7-b5e9-bd2ae9db2c49","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","ID3-3(N) Classroom 3","Pre-Install Check"
"e55a0819-2559-45ae-a04d-5de647410eb9","","not-started","Ω (DEPRECATED) Shopfront - Install Checklist (v0)","checklist","FALSE","FALSE","ID3-3(N) Classroom 3","Install Checklist"
"9bc48477-e711-4be5-973d-1fe8031080df","","not-started","Glazing Checklist","checklist","FALSE","FALSE","ID3-3(N) Classroom 3","Glazing"
"02d7afe0-63ab-4399-8966-0cc397a1f9d9","","not-started","Performance Tests","checklist","FALSE","FALSE","ID3-3(N) Classroom 3","Performance Tests"
"39c9cf19-ad85-489e-8f7b-a916d971b719","","not-started","Handover Checklist","checklist","FALSE","FALSE","ID3-3(N) Classroom 3","Handover"
