type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Apartment Sign Off,,,,,,Apartment Sign Off
section,Pre wire,,,,,,
checkpoint,Internal cabling complete,,,,,,
checkpoint,Main cabling complete (photos attached),,,,,,
checkpoint,Flush boxes installed,,,,,,
checkpoint,Fire boxes installed (photos attached),,,,,,
checkpoint,Fire walls point of entry (photos attached),,,,,,
section,Termination and testing,,,,,,
checkpoint,Install DB,,,,,,
checkpoint,Fit off DB (photo attached),,,,,,
checkpoint,LAN test internals (add signature),,,,,,
section,Fit off,,,,,,
checkpoint,TV/DATA fit off (photos attached),,,,,,
checkpoint,Nurse call fit off (photos attached),,,,,,
,,,,,,,
checklist,Common Area Sign Off,,,,,,Common Area Sign Off
section,Pre wire,,,,,,
checkpoint,Cabling complete,,,,,,
checkpoint,Flush box fire box installed (photos attached of fire box),,,,,,
checkpoint,Attach photos of fire penetrations,,,,,,
section,Terminated and tested ,,,,,,
checkpoint,LAN test complete,,,,,,
section,Fit off,,,,,,
checkpoint,Nurse call fit off,,,,,,
checkpoint,Camera fit off,,,,,,
checkpoint,Intercom fit off,,,,,,
checkpoint,Data Jacks Fit off,,,,,,
checkpoint,WiFi Fit off,,,,,,
checkpoint,Repeaters Installed.,,,,,,
,,,,,,,
checklist-flat,Floor Commisioning,,,,,,Floor Commisioning
checkpoint,Tone cables (add signature),,,,,,
checkpoint,Separate cables (add signature),,,,,,
checkpoint,Cable riser (add signature),,,,,,
,,,,,,,
checklist-flat,Building Commissioning,,,,,,Building Commissioning
checkpoint,Separate cables (add signature),,,,,,
checkpoint,Separate security cables (add signature),,,,,,
checkpoint,Complete cable riser (add signature),,,,,,
checkpoint,Build patch panels (attach photo's),,,,,,
checkpoint,Build nurse call system (attach photo's),,,,,,
checkpoint,Build MATV system (attach photo's),,,,,,
checkpoint,Build security panels (attach photo's),,,,,,
checkpoint,Program nurse call system (add signature),,,,,,
checkpoint,Commission nurse call system (attach photo's),,,,,,
checkpoint,Commission Security system (attach photo's),,,,,,
checkpoint,Commission Fire interface (attach photo's),,,,,,
