resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
,step,,,Ground Level,,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,T1 (Lwr),,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,T2 (Lwr),,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.01,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.02,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.03,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.04,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.05,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.06,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.07,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.08,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.09,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.10,,,,,,,,,
Gas Service Installation (Rough-ins),checklist,,,,G.11,,,,,,,,,
