Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Trusses,expanded,Trusses,
,,Level 1,dynamic,Level 1,
,,Level 2,dynamic,Level 2,
,,Level 3,dynamic,Level 3,
,,Building wrap and cladding system,dynamic,Building wrap and cladding system,
,Columns,,,,
,,Wall Strapping,,Wall Strapping,
,,External Framing,,External Framing,
,,Internal Framing,,Internal Framing,
,,Doors,,Doors,
,,Architrave,,Architrave,
,,Trims,,Trims,
,,Wraps/Tape Install,,Wraps/Tape Install,
,,Trusses,,Trusses,
