"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","pass","","folder","FALSE","FALSE","Variations"
"a06dc274-e9a1-4736-9fcd-dfe86bb8c248","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240515"
"6e1b9109-20d5-4081-8269-85b0282fc910","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240516"
"42ce54e0-5641-4af4-9336-7375f56787dc","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240520"
"c54688cf-4734-4afb-bc06-d81dd5656055","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240521"
"a44d7186-0e29-48f2-b912-0997ecfb08d7","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240523"
"59f4c2f1-dcfd-4074-81a2-cfd4b28532ee","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240527"
"538eecf2-bc25-4f60-a721-bd1dae2bff5a","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240605"
"5067e917-4ec6-43ba-b709-2389cb39189a","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240606"
"f7bb2036-5bb1-4838-8a18-96af041c5224","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240610"
"0f63ff96-4025-476d-a3d9-567ae4e0251d","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240611"
"b5b63a75-b3b5-49bb-a93c-a63cd3c02b31","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240612"
"b8138720-47c9-437b-9754-4920891542c0","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240613"
"2015233c-3d37-4336-9e8c-890009ee2092","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240607"
"f964a79d-6049-48cb-b64b-1b7c752754df","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240614"
"5f4d1a09-40d8-4ab2-8427-ce9d35716e30","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240616"
"07602cb3-97d3-4195-acf9-afddea82f0ce","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240618"
"09249447-b0a5-499b-97f6-a3c7bf5ccb76","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240619"
"9d2eb063-6081-4385-96df-a11a255a8080","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240620"
"2dbabeed-54af-4522-9b14-5135d99856eb","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240621"
"f323df36-077e-4bf6-b366-4c8cbd908d51","","work-in-progress","","folder","TRUE","FALSE","Steve Irwin Way Stage 2"
"5fc551df-2cae-42b7-a17e-c04634da55a8","","pass","02.01 - Traffic Management","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","TTM-02.01-LOT-002 - Implementation, maintenance and removal of temporary traffic management"
"e8505a50-adcd-4c95-bca4-6a8949b9f051","","pass","51.00 - Environmental Management Systems","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","ENV-51.00-LOT-002 - Environmental Records Management"
"ff1c7f99-6713-4ddb-8198-b7754d014d9a","","pass","52.01 - Erosion and Sediment Control","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","ESC-52.01-LOT-002 - Erosion and Sediment Control"
"4bbcf1b8-2554-4096-a8bc-c3dd1a90e966","","pass","28.01 - Contractor's Camp and Site Facilities","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","CSF-28.01-LOT-002 - Contractor's site facilities"
"a9c65dcb-38be-45c9-9a21-860dc39dd6d8","","pass","","folder","TRUE","FALSE","Steve Irwin Way Stage 2","May Lots"
"2a6736bb-7c82-41c3-9bb0-3124402b2223","","pass","02.01 - Traffic Management","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","May Lots","TTM-02.01-LOT-001 - Implementation, maintenance and removal of temporary traffic management"
"7670fbef-42ca-469f-a839-70022946674f","","pass","28.01 - Contractor's Camp and Site Facilities","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","May Lots","CSF-28.01-LOT-001 - Contractor's site facilities"
"86e74c0b-b833-4b35-8d40-43cecc2427fa","","pass","51.00 - Environmental Management Systems","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","May Lots","ENV-51.00-LOT-001 - Environmental Records Management"
"10790fbf-a740-4fb5-a408-5201780a8719","","pass","52.01 - Erosion and Sediment Control","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","May Lots","ESC-52.01-LOT-001 - Implement Environmental Management Plan (Construction)"
"38f8aedb-ca25-4795-b7b7-f73ff84aa579","","work-in-progress","","folder","TRUE","FALSE","Steve Irwin Way Stage 2","June Lots"
"09026ce0-8142-4641-b8fd-38cbfc770a9d","","pass","03.01 - Removal of Existing Drainage Structures and Concrete Slabs","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","June Lots","DEM-03.01-LOT-001 - Removal or demolition of culverts, complete [ID17916 - GA-02-B]"
"c80e2615-2e34-44f1-85ad-b0674f31d7f5","","work-in-progress","70.01 - MRTS70 Special Class Concrete","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","June Lots","CON-70.01-LOT-001 - Concrete bases in culverts 2/2100x1500 RCBC"
"4827ca54-0a76-4f10-8852-20d1b1495923","","work-in-progress","70.01 - MRTS70 Special Class Concrete","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","June Lots","STW-70.01-LOT-001 - GA-03-A Apron Slab Pour"
"2bf3dccc-bd57-432c-95b2-851a90ea28b6","","pass","04.01 - Clearing & Grubbing","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","June Lots","CNG-04.01-LOT-001 - Clear and Grub"
"ca17fbe3-c9c7-438f-92c2-af7184530e8c","","pass","03.01 - Removal of Existing Drainage Structures and Concrete Slabs","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","June Lots","DEM-03.01-LOT-002 - Removal or demolition of culverts, complete [ID12609 - GA-05-A]"
"4db68ff5-1edf-4398-9cab-e4a32e43e1be","","pass","03.01 - Removal of Existing Drainage Structures and Concrete Slabs","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","June Lots","DEM-03.01-LOT-003 - Removal or demolition of culvert end structures (GA-02-A, LHS and RHS)"
"a3e97b02-7220-45cd-9d20-f73580ed662d","","pass","03.01 - Removal of Existing Drainage Structures and Concrete Slabs","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","June Lots","DEM-03.01-LOT-004 - Removal or demolition of culvert end structures (GA-01-A, LHS)"
"1492a2c3-c68e-4b73-aeaa-fbb7c714af48","","pass","03.01 - Removal of Existing Drainage Structures and Concrete Slabs","checklist","FALSE","FALSE","Steve Irwin Way Stage 2","June Lots","DEM-03.01-LOT-005 - Removal or demolition of culvert end structures (GA-03-A, LHS)"
