"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Level 1 Progress"
,"Scope",,
,"Rows"
,,"Install PEF Rods between architrave and plaster boards linings and Mat Well. Seal with MS air seal",,"install pef rods between architrave and plaster boards linings and mat well. seal with ms air seal"
,,"Spray foam to door cill to prevent vermin",,"spray foam to door cill to prevent vermin"
,,"Install sill flashing",,"install sill flashing"
,,"Install Raven Seals to door frame and seal screw holes",,"install raven seals to door frame and seal screw holes"
,,"Hold Point - Door Installation Inspection Completed",,"hold point - door installation inspection completed"
,,"Inspected by Hawkins/Campbell Pope","Inspected by Hawkins/Campbell Pope","hold point - door installation inspection completed"
,,"Who inspected this completed work","Who inspected this completed work","hold point - door installation inspection completed"
,,"Installation of Door Fire Tags completed & photographed",,"installation of door fire tags completed & photographed"
,,"Door installation completed, tagged and approved",,"door installation completed, tagged and approved"
,,"Check blocking set out is correct for the rail system and blocking is in place for Door stops and other fittings/Fixtures",,"check blocking set out is correct for the rail system and blocking is in place for door stops and other fittings/fixtures"
,,"Existing Insulation in place",,"existing insulation in place"
,,"Install RAB system",,"install rab system"
,,"Installation of batten system including fixings for fixtures",,"installation of batten system including fixings for fixtures"
,,"Installation Exotec (as per James Hardies Tech. installation Manual)",,"installation exotec (as per james hardies tech. installation manual)"
,,"Installation of head flashings",,"installation of head flashings"
,,"Identify and Photograph Window(s) associated with this apartment",,"identify and photograph window(s) associated with this apartment"
,,"Identify and Photograph Window(s) associated with this apartment - Window Number(s)","Window Number(s)","identify and photograph window(s) associated with this apartment"
,,"Remove window",,"remove window"
,,"Tape around window",,"tape around window"
,,"Reinstate Services and Signage",,"reinstate services and signage"
,,"Fit WANZ bar to window",,"fit wanz bar to window"
,,"Photos required of the internal apartment showing the status before repair works",,"photos required of the internal apartment showing the status before repair works"
,,"Holdpoint - Any relevant internal remedial (make good) work completed and approved",,"holdpoint - any relevant internal remedial (make good) work completed and approved"
,,"Holdpoint - Any relevant internal remedial (make good) work completed and approved - Inspected by Hawkins/Campbell Pope","Inspected by Hawkins/Campbell Pope","holdpoint - any relevant internal remedial (make good) work completed and approved"
,,"Who inspected this completed work","Who inspected this completed work","holdpoint - any relevant internal remedial (make good) work completed and approved"
,,"All associated internal & external works completed, reviewed and approved",,"all associated internal & external works completed, reviewed and approved"
,,"All associated internal & external works completed, reviewed and approved",,"all associated internal & external works completed, reviewed and approved"
,,"Inspected by Campbell Pope","Inspected by Campbell Pope","all associated internal & external works completed, reviewed and approved"
,,"Who inspected this completed work","Who inspected this completed work","all associated internal & external works completed, reviewed and approved"

