Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Overall Progress,,,,,,,,
,Scope,,,,,,,
,Rows,,,,,,,
,,Stage 1 ,grouping,Stage 1 ,,,,
,,South Elevation ,expanded,South Elevation ,Stage 1 ,Project Build QA,,
,,North Elevation (South Courtyard),expanded,North Elevation (South Courtyard),Stage 1 ,Project Build QA,,
,,South Stairwell East ,expanded,South Stairwell East ,Stage 1 ,Project Build QA,,
,,South Stairwell West ,expanded,South Stairwell West ,Stage 1 ,Project Build QA,,
,,Stage 2 ,grouping,Stage 2 ,,,,
,,West Elevation (North side of Courtyard),expanded,West Elevation (North side of Courtyard),Stage 2 ,Project Build QA,,
,,Lightwell - East Side,expanded,East Side,Lightwell ,Stage 2 ,Project Build QA,
,,Lightwell - North Side,expanded,North Side,Lightwell ,Stage 2 ,Project Build QA,
,,Lightwell - South Side,expanded,South Side,Lightwell ,Stage 2 ,Project Build QA,
,,Lightwell - West Side,expanded,West Side,Lightwell ,Stage 2 ,Project Build QA,
,,South Elevation - Left Side,expanded,Left Side,South Elevation ,Stage 2 ,Project Build QA,
,,South Elevation - Centre ,expanded,Centre ,South Elevation ,Stage 2 ,Project Build QA,
,,South Elevation - Right Side,expanded,Right Side,South Elevation ,Stage 2 ,Project Build QA,
,,East Elevation ,expanded,East Elevation ,Stage 2 ,Project Build QA,,
,Columns,,,,,,,
,,Level 1 ,,Level 1 ,,,,
,,Level 2 ,,Level 2 ,,,,
,,Level 3 ,,Level 3 ,,,,
,,,,,,,,
Stage 1 - South Elevation Progress,,,,,,,,
,Scope,,,Stage 1,,,,
,Rows,,,,,,,
,,Level 1,dynamic,Level 1 ,South Elevation ,Stage 1,Project Build QA,
,,Level 2,dynamic,Level 2 ,South Elevation ,Stage 1,Project Build QA,
,,Level 3,dynamic,Level 3 ,South Elevation ,Stage 1,Project Build QA,
,Columns,,,,,,,
,,Identify Panel ,,Identify Panel ,,,,
,,Photograph Damage panel ,,Photograph Damage panel ,,,,
,,Condition of Ridged Wall underlay ,,Condition of Ridged Wall underlay ,,,,
,,Confirm Timber battens are in flat plane ,,Confirm Timber battens are in flat plane ,,,,
,,Confirm rail set out is correct ,,Confirm rail set out is correct ,,,,
,,Screw patten ,,Screw patten ,,,,
,,Sheet install complete ,,Sheet install complete ,,,,
,,Final inspection of finish sheet ,,Final inspection of finish sheet ,,,,
,,,,,,,,
Stage 1 - North Elevation (South Courtyard) Progress,,,,,,,,
,Scope,,,Stage 1,,,,
,Rows,,,,,,,
,,Level 1,dynamic,Level 1 ,North Elevation (South Courtyard),Stage 1,Project Build QA,
,,Level 2,dynamic,Level 2 ,North Elevation (South Courtyard),Stage 1,Project Build QA,
,,Level 3,dynamic,Level 3 ,North Elevation (South Courtyard),Stage 1,Project Build QA,
,Columns,,,,,,,
,,Identify Panel ,,Identify Panel ,,,,
,,Photograph Damage panel ,,Photograph Damage panel ,,,,
,,Condition of Ridged Wall underlay ,,Condition of Ridged Wall underlay ,,,,
,,Confirm rails are in flat plane ,,Confirm rails are in flat plane ,,,,
,,Confirm rail set out is correct ,,Confirm rail set out is correct ,,,,
,,primers to new sheet ,,primers to new sheet ,,,,
,,Primer installed to rails ,,Primer installed to rails ,,,,
,,Apply adhesive ,,Apply adhesive ,,,,
,,Sheet install complete ,,Sheet install complete ,,,,
,,Final inspection of finish sheet ,,Final inspection of finish sheet ,,,,
,,,,,,,,
Stage 1 - South Stairwell East Progress,,,,,,,,
,Scope,,,Stage 1,,,,
,Rows,,,,,,,
,,Level 1,dynamic,Level 1 ,South Stairwell East ,Stage 1,Project Build QA,
,,Level 2,dynamic,Level 2 ,South Stairwell East ,Stage 1,Project Build QA,
,,Level 3,dynamic,Level 3 ,South Stairwell East ,Stage 1,Project Build QA,
,Columns,,,,,,,
,,Identify Panel ,,Identify Panel ,,,,
,,Photograph Damage panel ,,Photograph Damage panel ,,,,
,,Condition of Ridged Wall underlay ,,Condition of Ridged Wall underlay ,,,,
