"","Room Aerial Drainage Installation","Room Rough-in Pressure Services Installation","Pressure Risers Services Installation","Final Fit-Off Services Installation"
"1.01","pass","pass",,"pass"
"1.02","pass","pass",,"pass"
"1.03","pass","pass",,"pass"
"1.04","pass","pass",,"pass"
"1.05","pass","pass",,"pass"
"1.06","pass","pass",,"pass"
"1.07","pass","pass",,"pass"
"2.01","pass","pass",,"pass"
"2.02","pass","pass",,"pass"
"2.03","pass","pass",,"pass"
"2.04","pass","pass",,"pass"
"2.05","pass","pass",,"pass"
"2.06","pass","pass",,"pass"
"2.07","pass","pass",,"pass"
"2.08","pass","pass",,"pass"
"3.01","pass","pass",,"pass"
"3.02","pass","pass",,"pass"
"4.01","pass","pass",,"pass"
"4.02","pass","pass",,"pass"
"4.03","pass","pass",,"pass"
"4.04","pass","pass",,"pass"
"4.05","pass","pass",,"pass"
"4.06","pass","pass",,"pass"
"5.01","pass","pass",,"pass"
"5.02","pass","pass",,"pass"
"5.03","pass","pass",,"pass"
"5.04","pass","pass",,"pass"
"5.05","pass","pass",,"pass"
"5.06","pass","pass",,"pass"
"6.01","pass","pass",,"pass"
"6.02","pass","pass",,"pass"
"6.03","pass","pass",,"pass"
"6.04","pass","pass",,"pass"
"6.05","pass","pass",,"pass"
"6.06","pass","pass","pass","pass"
"7.01","pass","pass",,"pass"
"7.02","pass","pass",,"pass"
"7.03","pass","pass",,"pass"
"7.04","pass","pass",,"pass"
"7.05","pass","pass",,"pass"
"7.06","pass","pass",,"pass"
