Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,GIB Weatherline,,,,,Yes,GIB Weatherline,20b41e07-63d8-4244-98ba-38ec916d56c8
checkpoint-group,,,section,Details:,,,,,,,
checkpoint-status,,,checkpoint,Has area been handed over by W & H,,,,,,,
checkpoint-status,,,checkpoint,Framing inspected to be covered,,,,,,,
checkpoint-status,,,checkpoint,Thermax installed,,,,,,,
checkpoint-status,,,checkpoint,Screw pattern achieve,,,,,,,
checkpoint-status,,,checkpoint,All joints taped,,,,,,,
checkpoint-status,,,checkpoint,Window area taped,,,,,,,
checkpoint-status,,,checkpoint,Rebates taped,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Balcony Soffit Framing,,,,,Yes,Balcony Soffit Framing,5f795c6d-5df8-45d1-bee2-94417233b0b7
checkpoint-group,,,section,Details:,,,,,,,
checkpoint-status,,,checkpoint,Has area been handed over by W & H,,,,,,,
checkpoint-status,,,checkpoint,Framing inspected to be covered,,,,,,,
checkpoint-status,,,checkpoint,DPC in place,,,,,,,
checkpoint-status,,,checkpoint,are bolts installed,,,,,,,
checkpoint-status,,,checkpoint,Set out correct,,,,,,,
checkpoint-status,,,checkpoint,Weatherline to face installed and screw pattern achieved,,,,,,,
checkpoint-status,,,checkpoint,Proclima and all penetrations sealed,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Roof Framing,,,,,Yes,Roof Framing,5fcf5a78-b07d-4570-9443-4e3c8a968334
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Has area been handed over by W & H,,,,,,,
checkpoint-status,,,checkpoint,Is steel complete,,,,,,,
checkpoint-status,,,checkpoint,Steel beams packed,,,,,,,
checkpoint-status,,,checkpoint,All bolts installed to bearers,,,,,,,
checkpoint-status,,,checkpoint,DPC installed where required,,,,,,,
checkpoint-status,,,checkpoint,Trusses installed,,,,,,,
checkpoint-status,,,checkpoint,Hip trusse nogged,,,,,,,
checkpoint-status,,,checkpoint,Ridge nogged,,,,,,,
checkpoint-status,,,checkpoint,Hardware install,,,,,,,
checkpoint-status,,,checkpoint,Lintel bolts and brackets,,,,,,,
checkpoint-status,,,checkpoint,Point load fixings,,,,,,,
checkpoint-status,,,checkpoint,Space braces installed,,,,,,,
checkpoint-status,,,checkpoint,Diagonal strape braces installed,,,,,,,
checkpoint-status,,,checkpoint,Rafters installed as per LVL plan,,,,,,,
checkpoint-status,,,checkpoint,Ribbon boards installed and bolted,,,,,,,
checkpoint-status,,,checkpoint,Structural steel in place and packed (B9),,,,,,,
checkpoint-status,,,checkpoint,Hardware installed,,,,,,,
