"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f1ec6e51-e50e-45f1-a8ed-a4a466a7ebda","","folder-normal","pass","","step","TRUE","FALSE","Main building"
"4143921c-5eaf-428d-bbe8-48dd2ad5d81b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Main building","Basement 1"
"f55012a4-f9b2-4fc4-89b3-ecfa3aa69a7c","","folder-normal","pass","","step","TRUE","FALSE","Main building","Level 1"
"9ed2e67f-28f0-4936-a487-25c97d9d5ed1","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-01"
"f416385f-035a-4e4b-9d8c-4ad2ab77451d","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-02"
"269bd0bc-1d6e-4009-bd83-532030936c87","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-03"
"defcb6eb-50ab-458c-9605-444dc0090ae7","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-04"
"397d1dbf-cef9-40c0-92d1-1256316bd609","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-05"
"0e3ecf53-8d26-450b-b896-05510df34068","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-06"
"1df5aaf7-0830-4c73-a469-801fe8fe3b3c","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-07"
"f5016d37-cb46-437e-8723-02e328ec9eed","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-08"
"218c1f77-031d-4f2b-b42b-0024a8888a5c","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-09"
"7fd0a8b8-a3b0-4a3f-b797-9aa52173c3ee","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-10"
