"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"038ebf30-698d-493c-aa4c-52190ebe3f6e","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Ground","System"
"db726a68-d341-480f-9ac1-f32f2eb401b4","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Slab"
"39598c54-daf9-4ad1-88b1-7f3d47997ca5","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ground","Stairs"
"8abeae33-4735-40cd-bf77-fdaf1a942c56","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"7e4cd335-4a5b-45b2-9a73-395b80177120","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns"
"a8e595d2-3820-4e38-b95c-a6bca55cea70","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Walls"
"70c7b3c6-9399-445b-a775-6c00c5bc66b8","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 1","System"
"329649a1-1ad5-4b52-80df-28bde29a57e1","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Slab"
"0e8e1555-f83a-4cea-83ca-fda06ac954a2","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Stairs"
"ccb88335-4f99-48bf-9fa8-eabfca07a29a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 2"
"a1e3e766-54dc-4be4-8070-3944bafc65af","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Columns"
"aa753202-a8f6-45f0-a966-39c9e6918f2d","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Walls"
