"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bdb2d8e4-b1b8-4e95-9cf2-e0199e963abe","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"01571320-087a-44f7-8015-90bd2feec6f3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","SOG B-3"
"3e2f62de-e1ea-47f6-a29e-ac54bc1a0ae1","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-3","Lift Over Run"
"9ee859e9-e156-4e0c-aa62-f111bf9e793f","","checklist-flat","not-started","S.O.G Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-3","SOG Edge Boards"
"9e594de4-6bfd-4d79-9710-40e22ab5c23e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 3"
"2cc01ba8-73f8-4df6-ada8-a61b06be7572","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Columns"
"40a63423-a732-425a-b10d-586007a983cf","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Walls"
"fc1a7301-e199-4be1-b30f-172ae4dc39d9","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Slab"
"8f832fda-a8b0-47a5-8b5e-49e2108ccead","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Basement 3","Stairs"
"09b6a9af-cece-4d54-922d-f86607b42de4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 2"
"7a3e96e0-0dc2-4584-b107-e9c695c1367e","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Columns"
"d179e2f5-a1b5-443f-b17f-8a8753dcdc13","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Walls"
"3d9e4009-fcc0-4bf4-85e6-cb094cf8de21","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Basement 2","System"
"c1969afe-6666-4c21-9bc2-c5ff6f9f4e98","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Slab"
"35c009c7-a1ca-48a2-9ef6-3b1452b0992f","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Basement 2","Stairs"
"d45aaf19-ac42-4720-ab36-9be45727fb9a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 1"
"ae94f56c-1a7f-47f7-91d7-94b0ccc052a2","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Columns"
"874efdaa-e06e-439c-9577-1a4bd475795e","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Walls"
"f62ac267-8b25-4a16-a38e-bfc560f615f7","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Basement 1","System"
"a95a0495-e9a6-4ebd-aec2-9022f76d3885","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Slab"
"1a643325-9bd9-416c-9a19-c81af2fd021c","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Basement 1","Stairs"
"b5f4706d-8af0-4ee0-a5ae-6ecd31e1c434","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground"
"f475c5be-a698-4f37-bf0d-770dc91eca87","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Columns"
"5610519d-a38b-420f-9015-d08d55047d1c","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Walls"
"4fbc074c-c661-4eb7-a9c4-757ccbc7af0c","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Ground","System"
"7cd3d76f-525f-4a8c-9563-5f9c04dd5b40","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Slab"
"1eb7e0c3-f771-4c1c-8901-92ae7d752d95","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ground","Stairs"
"bf9a8055-039f-48cf-bcf3-2042dfe6f5ee","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Mezz Level"
"70c0fa5d-cd72-4781-bf8d-4459e0e65000","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Columns"
"417ed9b6-e0ac-4bf2-8163-e538a0294395","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Walls"
"5f4ec5e6-fde5-44a4-80be-97c77d482dba","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","System"
"f14ef412-765d-47c9-954a-6fc76109abfd","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Slab"
"3bc4860d-ddd2-4210-8a4e-dcecaec9c898","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","Stairs"
"559369ea-ed31-4192-8a55-3148395955fe","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"80105159-51a1-4ea2-83cb-f40e2d020d1a","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns"
"e9d98038-9e17-41e3-ab76-88db2bb09e92","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Walls"
"658e26fa-995b-4694-b321-ab6afbbb2f17","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 1","System"
"a68cc953-037f-45d4-bce3-c0668cec3e7e","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Slab"
"034d2b6b-5b26-4bde-8e3d-6b3c91244a5b","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Stairs"
"897bcd14-29a2-4851-bb3f-4d1a620dd4b8","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 1","Screens"
