"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fbb0bb1b-9e37-4f9e-9760-d886bfdfb525","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"68de3acc-c32c-4dcf-b224-16161458db8e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 1 Ground"
"7e58c9f7-df1c-43fc-bcf5-e15dd1862c16","","checklist-flat","not-started","S.O.G Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 1 Ground","Ground Works"
"10603ab3-1172-4b33-a86c-e74304d40bcb","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 1 Ground","Lift & Sevice Pit Over Runs"
"c0fecf71-11ab-4f53-bb4d-608d9e8a841e","","checklist-sectioned","not-started","Stairs (in-situ) Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 1 Ground","Stairs(in-situ)"
"1b871352-b52b-40ac-b586-ac84f62c4128","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 2"
"2b706d41-95b1-427a-8f33-79fd4b5e9478","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Suspended Slab"
"cee19b03-e33e-4add-bf7b-241bb613e17c","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Core Walls"
"2169faf3-b1ca-4540-969e-e9852bbce732","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Stair Walls"
"d05edff7-7d94-46d9-80cb-f3e38dfa7b5e","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Walls"
"7d2f31d0-2f56-4bd5-8d6a-6a0a18a8bb67","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 2","Stairs"
"22bb8ece-a0c8-4a75-92ca-d5cfd6cadd39","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Columns"
"273b73a1-4796-4e42-bfc9-ab93eb46d998","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 3"
"6ab3ed21-f2b2-4037-950f-ed44c38e7e26","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 3","Suspended Slab"
"da6ae809-d3c9-44ae-a867-440fd4c1e1c6","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 3","Core Walls"
"481b2db2-a883-4da8-86b5-0c62bafa00c2","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 3","Stair Walls"
"ec618a4e-858e-4f98-a007-c3d63be35484","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 3","Walls"
"07d81b47-c56a-4b7b-8bf8-fd9ec01ea3b9","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 3","Stairs"
"0c9b89e5-118a-4823-a92f-7b33dbb2dea3","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 3","Columns"
"9fba52fd-81c9-42c9-a097-9fc315132b9a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 4"
"6cfe5ba4-e5e4-4bc5-88b8-4f86fab8384b","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 4","Suspended Slab"
"71abdff0-0642-4baa-b73f-722dd3e18c2c","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 4","Core Walls"
"6fef281b-0d9c-42a4-92b3-1f5ffffc1bc0","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 4","Stair Walls"
"0ce86118-a3fc-42aa-b912-5dd279a5aa30","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 4","Walls"
"19a00190-b521-49d0-b5a7-3600e8b6e8c5","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 4","Stairs"
"036c0133-e19f-4542-a220-8e32052dd0a6","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 4","Columns"
"a6d0c914-20df-479d-a2c2-51240ac5a177","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 5"
"6aa89aae-606b-4c40-8e51-c739c4b0bb70","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 5","Suspended Slab"
"a74ce41c-5570-4570-beb8-09510d91a95e","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 5","Core Walls"
"ecd28f20-963e-4dd7-ac62-d5499c3a7f9c","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 5","Stair Walls"
"87ed10f5-a4d2-4ca9-9d37-f2444bb7aa91","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 5","Walls"
"3e250945-ed0c-40cf-9fb5-38d67ba4b5d3","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 5","Stairs"
"52e2bb0c-3341-4f6d-ab4a-d500eadda56b","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 5","Columns"
"32da447a-0f4d-4690-8296-fbabc8fd79d0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 6"
"8d5022ab-7725-4cb6-b299-a1df91f30c5d","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 6","Suspended Slab"
"27f2392e-69b5-41f5-8db4-9707fa96b5a4","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 6","Core Walls"
"8ed7f9a4-2b54-450a-810c-1488b5d0c24e","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 6","Stair Walls"
"c88e7c7e-3987-4eb9-b3c3-5cb9aa50a460","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 6","Walls"
"add1a8d2-ce9d-4333-82f2-1fc88f3ba628","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 6","Stairs"
"cdbb386e-662e-43ff-a957-637b3b8686f7","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 6","Columns"
"2e418893-7380-4fc0-a720-bc25cd3b51ef","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 7"
"934624c0-d405-4229-b88b-2738aec02a4b","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 7","Suspended Slab"
"df3c7183-ed96-4797-9339-d78ed65dd4a3","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 7","Core Walls"
"590cf45b-0488-4a77-bdae-c34cf225e397","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 7","Stair Walls"
"131f5eb4-c4cd-42cd-a350-91bcfc1b033c","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 7","Walls"
"d39a5346-8ada-441d-8d91-603ff5dc46ff","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 7","Stairs"
"5df4b123-9da8-46da-8c57-4d1f835df572","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 7","Columns"
"242e7b87-e703-420c-8f77-dee4b204c254","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 8"
"16d953d5-9638-40dc-b9b0-e5d84e888a0c","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 8","Suspended Slab"
"671d3677-1be6-4b96-9a54-bbd8d015e33e","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 8","Core Walls"
"974365a6-a8d8-4f3c-91f3-11b73ac7e1b8","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 8","Stair Walls"
"025e8495-bc39-40bb-9861-f37510ed9155","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 8","Walls"
"7d4655e3-a765-406f-bc52-5c5e8dc5bf83","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 8","Stairs"
"2d535592-9629-4436-8fc4-b7ba36dbfb5a","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 8","Columns"
"e94eef06-e9ff-4bad-a73c-6e27e82c0f63","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 9"
