Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,
Quality - Cable tray/Ladder,,,,,,,,,,,
,Scope,,,Site QA,,,,,,,
,Rows,,,,,,,,,,
,,Terminal - Basement - B1.1,dynamic,Site QA,Terminal,Cable Tray & Conduits,Basement,B1.1,,,
,,Terminal - Basement - B1.2,dynamic,Site QA,Terminal,Cable Tray & Conduits,Basement,B1.2,,,
,,Terminal - Basement - B1.3,dynamic,Site QA,Terminal,Cable Tray & Conduits,Basement,B1.3,,,
,,Terminal - Basement - B1.4,dynamic,Site QA,Terminal,Cable Tray & Conduits,Basement,B1.4,,,
,,Terminal - Basement - B1.5,dynamic,Site QA,Terminal,Cable Tray & Conduits,Basement,B1.5,,,
,,Terminal - Basement - B1.6,dynamic,Site QA,Terminal,Cable Tray & Conduits,Basement,B1.6,,,
,,Terminal - Basement - B1.7,dynamic,Site QA,Terminal,Cable Tray & Conduits,Basement,B1.7,,,
,,Terminal - Upper Basement - BU1.1,dynamic,Site QA,Terminal,Cable Tray & Conduits,Upper Basement,BU1.1,,,
,,Terminal - Upper Basement - BU1.2,dynamic,Site QA,Terminal,Cable Tray & Conduits,Upper Basement,BU1.2,,,
,,Terminal - Upper Basement - BU1.3,dynamic,Site QA,Terminal,Cable Tray & Conduits,Upper Basement,BU1.3,,,
,,Terminal - Upper Basement - BU1.4,dynamic,Site QA,Terminal,Cable Tray & Conduits,Upper Basement,BU1.4,,,
,,Terminal - Upper Basement - BU1.5,dynamic,Site QA,Terminal,Cable Tray & Conduits,Upper Basement,BU1.5,,,
,,Terminal - Upper Basement - BU1.6,dynamic,Site QA,Terminal,Cable Tray & Conduits,Upper Basement,BU1.6,,,
,,Terminal - Ground Floor - GF1.1,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF1.1,,,
,,Terminal - Ground Floor - GF1.2,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF1.2,,,
,,Terminal - Ground Floor - GF1.3,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF1.3,,,
,,Terminal - Ground Floor - GF1.4,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF1.4,,,
,,Terminal - Ground Floor - GF1.5,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF1.5,,,
,,Terminal - Ground Floor - GF1.6,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF1.6,,,
,,Terminal - Ground Floor - GF1.7,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF1.7,,,
,,Terminal - Ground Floor - GF1.8,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF1.8,,,
,,Terminal - Ground Floor - GF1.9,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF1.9,,,
,,Terminal - Ground Floor - GF1.10,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF1.10,,,
,,Terminal - Ground Floor - GF-PE-1.1,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF-PE-1.1,,,
,,Terminal - Ground Floor - GF-PE-1.2,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF-PE-1.2,,,
,,Terminal - Ground Floor - GF-PE-1.3,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF-PE-1.3,,,
,,Terminal - Ground Floor - GF-PW-1.1,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF-PW-1.1,,,
,,Terminal - Ground Floor - GF-PW-1.2,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF-PW-1.2,,,
,,Terminal - Ground Floor - GF-PW-1.3,dynamic,Site QA,Terminal,Cable Tray & Conduits,Ground Floor,GF-PW-1.3,,,
,,Terminal - Second Floor - SF-PE-1.1,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF-PE-1.1,,,
,,Terminal - Second Floor - SF-PE-1.2,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF-PE-1.2,,,
,,Terminal - Second Floor - SF-PE-1.3,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF-PE-1.3,,,
,,Terminal - Second Floor - SF-PW-1.1,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF-PW-1.1,,,
,,Terminal - Second Floor - SF-PW-1.2,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF-PW-1.2,,,
,,Terminal - Second Floor - SF-PW-1.3,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF-PW-1.3,,,
,,Terminal - Second Floor - SF1.1,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF1.1,,,
,,Terminal - Second Floor - SF1.2,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF1.2,,,
,,Terminal - Second Floor - SF1.3,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF1.3,,,
,,Terminal - Second Floor - SF1.4,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF1.4,,,
,,Terminal - Second Floor - SF1.5,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF1.5,,,
,,Terminal - Second Floor - SF1.6,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF1.6,,,
,,Terminal - Second Floor - SF1.7,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF1.7,,,
,,Terminal - Second Floor - SF1.8,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF1.8,,,
,,Terminal - Second Floor - SF1.9,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF1.9,,,
,,Terminal - Second Floor - SF1.10,dynamic,Site QA,Terminal,Cable Tray & Conduits,Second Floor,SF1.10,,,
,,Terminal - Third Floor - TF-1.1,dynamic,Site QA,Terminal,Cable Tray & Conduits,Third Floor,TF-1.1,,,
,,Terminal - Third Floor - TF-1.2,dynamic,Site QA,Terminal,Cable Tray & Conduits,Third Floor,TF-1.2,,,
,,Terminal - Third Floor - TF-1.3,dynamic,Site QA,Terminal,Cable Tray & Conduits,Third Floor,TF-1.3,,,
,,Terminal - Third Floor - TF-1.4,dynamic,Site QA,Terminal,Cable Tray & Conduits,Third Floor,TF-1.4,,,
,,Terminal - Third Floor - TF-PW-1.1,dynamic,Site QA,Terminal,Cable Tray & Conduits,Third Floor,TF-PW-1.1,,,
,,Terminal - Third Floor - TF-PW-1.2,dynamic,Site QA,Terminal,Cable Tray & Conduits,Third Floor,TF-PW-1.2,,,
,,TERs - TER 1 - Cable Tray ,dynamic,Site QA,TERs,Cable Tray & Conduits,TER 1,TER 1 - Cable Tray ,,,
,,TERs - TER 2 - Cable tray,dynamic,Site QA,TERs,Cable Tray & Conduits,TER 2,TER 2 - Cable tray,,,
,,Fuel Farm - Containment - Building 2.01,dynamic,fuel farm,containment,building 2.01,site qa,,,,
,,Fuel Farm - Containment - Building 2.02,dynamic,fuel farm,containment,building 2.02,site qa,,,,
,,Fuel Farm - Containment - Building 2.03,dynamic,building 2.03,fuel farm,containment,site qa,,,,
,,Fuel Farm - Containment - Building 2.05,dynamic,fuel farm,containment,site qa,building 2.05,,,,
,,Fuel Farm - Containment - Building 2.07,dynamic,fuel farm,containment,site qa,building 2.07,,,,
,,Fuel Farm - Containment - Building 3.03,dynamic,fuel farm,containment,site qa,building 3.03,,,,
,,Fuel Farm - Containment - Building 3.06,dynamic,fuel farm,containment,building 3.06,site qa,,,,
,,BAF - Terminal Ground Floor - SEA - BAF-GF-SEA-1.1,dynamic,baf-gf-sea-1.1,site qa,terminal,ground floor - sea,baf,,,
,,BAF - Terminal Ground Floor - BOH - REC - BAF-GF-BOH-1.1,dynamic,baf-gf-boh-1.1,site qa,terminal,baf,ground floor - boh - rec,,,
,,BAF - Terminal Ground Floor - BOH - ADMIN - BAF-GF-BOH-1.2,dynamic,site qa,terminal,ground floor - boh - admin,baf-gf-boh-1.2,baf,,,
,,BAF - Terminal Level 2 - OCP - BAF-L2-OCP-1.1,dynamic,site qa,terminal,baf-l2-ocp-1.1,level 2 - ocp,baf,,,
,,BAF - Terminal Level 3 - ECP - BAF-L2-ECP-1.1,dynamic,baf-l2-ecp-1.1,site qa,terminal,baf,level 3 - ecp,,,
,,BAF - Terminal Level 3 - INTL ARRIVAL - BAF-L2-INT-AR-1.1,dynamic,level 3 - intl arrival,site qa,terminal,baf-l2-int-ar-1.1,baf,,,
,,Landside - LV & ICN Installation LV and ICN Conduit Install - Switchrooms,dynamic,lv and icn conduit install,switchrooms,site qa,landside,lv & icn installation,,,
,Columns,,,,,,,,,,
,,Receipt of Cable Tray delivery to site & storage,,Receipt of Cable Tray delivery to site & storage,,,,,,,
,,Set out confirmed with latest AFC Drawings,,Set out to be confirmed with latest AFC Drawings,,,,,,,
,,Accessories to be factory made items,,Accessories to be factory made items,,,,,,,
,,Correct Levelling & Alignment,,Correct Levelling & Alignment,,,,,,,
,,correct bracket & safe fixing,,correct bracket and safe fixing,,,,,,,
,,Correct Bends used (Cable Ladder),,Correct Bends used (Cable Ladder),,,,,,,
,,Cable Tray Checked For Sharp Edges,,Cable Tray Checked For Sharp Edges,,,,,,,
