"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Precast Installation - Overall Progress"
,"Scope",,,"precast panels"
,"Rows"
,,"Zone A - B4 Core - L2","dynamic","zone a","b4 core","l2","precast panels"
,,"Zone A - B4 Core - L3","dynamic","zone a","b4 core","precast panels","l3"
,,"Zone A - B5 Core - GF","dynamic","b5 core","zone a","precast panels","gf"
,,"Zone A - B5 Core - L1","dynamic","b5 core","zone a","l1","precast panels"
,,"Zone A - B5 Core - L2","dynamic","b5 core","zone a","l2","precast panels"
,,"Zone A - B5 Core - L3","dynamic","b5 core","zone a","precast panels","l3"
,,"Zone A - B5 Core - L4","dynamic","l4","b5 core","zone a","precast panels"
,,"Zone A - B5 Core - L5","dynamic","l5","b5 core","zone a","precast panels"
,,"Zone A - B6 Core - LG","dynamic","b6 core","zone a","lg","precast panels"
,,"Zone A - B6 Core - GF","dynamic","b6 core","zone a","precast panels","gf"
,,"Zone A - B6 Core - L1","dynamic","b6 core","zone a","l1","precast panels"
,,"Zone A - B6 Core - L2","dynamic","b6 core","zone a","l2","precast panels"
,,"Zone A - B6 Core - L3","dynamic","b6 core","zone a","precast panels","l3"
,,"Zone A - B6 Core - L4","dynamic","l4","b6 core","zone a","precast panels"
,,"Zone A - B8/C5 Core - LG","dynamic","zone a","lg","b8/c5 core","precast panels"
,,"Zone A - B8/C5 Core - GF","dynamic","zone a","b8/c5 core","precast panels","gf"
,,"Zone A - B10 Core - GF","dynamic","b10 core","zone a","precast panels","gf"
,,"Zone A - B10 Core - L1","dynamic","b10 core","zone a","l1","precast panels"
,,"Zone A - B10 Core - L2","dynamic","b10 core","zone a","l2","precast panels"
,,"Zone A - B10 Core - L3","dynamic","b10 core","zone a","precast panels","l3"
,,"Zone A - B10 Core - L4","dynamic","b10 core","l4","zone a","precast panels"
,,"Zone A - B10 Core - L5","dynamic","b10 core","l5","zone a","precast panels"
,,"Zone A - B10 Core - L6","dynamic","b10 core","l6","zone a","precast panels"
,,"Zone A - B14 Core - GF","dynamic","b14 core","zone a","precast panels","gf"
,,"Zone A - B14 Core - L1","dynamic","b14 core","zone a","l1","precast panels"
,,"Zone A - Ramp 07 - LG","dynamic","ramp 07","zone a","lg","precast panels"
,,"Zone A - Spanish Steps PC - LG","dynamic","ramp 07","zone a","lg","precast panels"
,,"Zone A - Additional PC Panels","dynamic","additional pc panels","precast panels","zone a"
,,"Zone B - Loading Dock Ramp Panels - B1","dynamic","zone b","loading dock ramp panels - b1","precast panels","b1"
,,"Zone B - Main Entrance Precast Ramp (Eastern Panels) - LG","dynamic","zone b","lg","main entrance precast ramp (eastern panels)","precast panels"
,,"Zone B - Façade Panels - LG","dynamic","zone b","façade panels","lg","precast panels"
,,"Zone B - Stair A2 - B1","dynamic","zone b","stair a2","precast panels","b1"
,,"Zone B - Stair A2 - GF","dynamic","zone b","stair a2","precast panels","gf"
,,"Zone B - Stair A2 - L1","dynamic","zone b","stair a2","l1","precast panels"
,,"Zone B - Stair A2 - L2","dynamic","zone b","stair a2","l2","precast panels"
,,"Zone B - Stair A2 - LG-11","grouping","zone b - stair a2 - lg-11"
,,"LG-11","expanded","zone b","lg-11","stair a2","precast panels"
,,"Zone B - Stair A2 - LG","dynamic","zone b","lg","stair a2","precast panels"
,,"Zone B - Stair A5 - B1","dynamic","zone b","precast panels","stair a5","b1"
,,"Zone B - Stair A5 - LG","dynamic","zone b","lg","precast panels","stair a5"
,,"Zone B - Stair A6 - L2","dynamic","stair a6","zone b","l2","precast panels"
,,"Zone B - Stair A6 - L3","dynamic","stair a6","zone b","precast panels","l3"
,,"Zone B - Stair A6 - L4","dynamic","stair a6","zone b","l4","precast panels"
,,"Zone B - Stair A6 - L5 LID","dynamic","stair a6","zone b","l5 lid","precast panels"
,,"Zone B - Loading Dock Ramp Panels - LG","dynamic","zone b","loading dock ramp panels - lg","precast panels"
,,"Zone B - Feature Precast Panels","dynamic","zone b","feature precast panels","precast panels"
,,"Zone C - E2 Stair - GF","dynamic","zone c","e2 stair","precast panels","gf"
,,"Zone C - E2 Stair - L1","dynamic","zone c","e2 stair","l1","precast panels"
,,"Zone C - E2 Stair - L2","dynamic","zone c","e2 stair","l2","precast panels"
,,"Zone C - E2 Stair - L3","dynamic","zone c","e2 stair","precast panels","l3"
,,"Zone C - E2 Stair - L4","dynamic","l4","zone c","e2 stair","precast panels"
,,"Zone C - C Lids","dynamic","c lids","zone c","precast panels"
,,"Zone C - Building C feature precast","dynamic","precast panels","building c feature precast"
,,"Zone C - D1 Lids","dynamic","d1 lids","precast panels"
,,"Zone C - Building D Feature Precast","dynamic","building d feature precast","precast panels"
,"Columns"
,,"Acceptance / Installation",,"acceptance / installation"
,,"Base Grouting",,"base grouting"
,,"Tube Grouting",,"tube grouting"
,,"Grout Strength",,"grout strength"
,,"Welding of Stitch Plates",,"welding of stitch plates"

"Hole Coring Progress"
,"Scope",,,"hole coring"
,"Rows"
,,"Core Hole 01",,"core hole 01","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 02",,"core hole 02","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 03",,"hole coring","core hole 03","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 04",,"hole coring","zone a (building b)","core hole 04","lower ground core holes 1-62"
,,"Core Hole 05",,"hole coring","zone a (building b)","core hole 05","lower ground core holes 1-62"
,,"Core Hole 06",,"hole coring","zone a (building b)","core hole 06","lower ground core holes 1-62"
,,"Core Hole 07",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 07"
,,"Core Hole 08",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 08"
,,"Core Hole 09",,"core hole 09","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 10",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 10"
,,"Core Hole 11",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 11"
,,"Core Hole 12",,"core hole 12","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 13",,"core hole 13","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 13A",,"core hole 13a","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 14",,"hole coring","core hole 14","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 15",,"hole coring","zone a (building b)","core hole 15","lower ground core holes 1-62"
,,"Core Hole 16",,"hole coring","zone a (building b)","core hole 16","lower ground core holes 1-62"
,,"Core Hole 17",,"hole coring","zone a (building b)","core hole 17","lower ground core holes 1-62"
,,"Core Hole 18",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 18"
,,"Core Hole 19",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 19"
,,"Core Hole 20",,"hole coring","zone a (building b)","core hole 20","lower ground core holes 1-62"
,,"Core Hole 21",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 21"
,,"Core Hole 22",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 22"
,,"Core Hole 23",,"core hole 23","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 24",,"core hole 24","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 25",,"hole coring","core hole 25","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 26",,"hole coring","zone a (building b)","core hole 26","lower ground core holes 1-62"
,,"Core Hole 27",,"hole coring","zone a (building b)","core hole 27","lower ground core holes 1-62"
,,"Core Hole 28",,"hole coring","zone a (building b)","core hole 28","lower ground core holes 1-62"
,,"Core Hole 29",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 29"
,,"Core Hole 30",,"hole coring","zone a (building b)","core hole 30","lower ground core holes 1-62"
,,"Core Hole 31",,"hole coring","zone a (building b)","core hole 31","lower ground core holes 1-62"
,,"Core Hole 31A",,"hole coring","zone a (building b)","core hole 31a","lower ground core holes 1-62"
,,"Core Hole 32",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 32"
,,"Core Hole 33",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 33"
,,"Core Hole 34",,"core hole 34","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 35",,"core hole 35","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 36",,"hole coring","core hole 36","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 37",,"hole coring","zone a (building b)","core hole 37","lower ground core holes 1-62"
,,"Core Hole 38",,"hole coring","zone a (building b)","core hole 38","lower ground core holes 1-62"
,,"Core Hole 39",,"hole coring","zone a (building b)","core hole 39","lower ground core holes 1-62"
,,"Core Hole 40",,"hole coring","core hole 40","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 41",,"hole coring","zone a (building b)","core hole 41","lower ground core holes 1-62"
,,"Core Hole 42",,"hole coring","zone a (building b)","core hole 42","lower ground core holes 1-62"
,,"Core Hole 42A",,"hole coring","zone a (building b)","core hole 42a","lower ground core holes 1-62"
,,"Core Hole 43",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 43"
,,"Core Hole 44",,"hole coring","zone a (building b)","lower ground core holes 1-62","core hole 44"
,,"Core Hole 45",,"core hole 45","hole coring","zone a (building b)","lower ground core holes 1-62"
,,"Core Hole 46",,"core hole 46","hole coring","zone a (building b)","lower ground core holes 1-62"
