Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Rock Beaching - Lot Register,,,,,,
,Scope,,,site qa,rock beaching,
,Rows,,,,,
,,McGregor Road North,dynamic,rock beaching,McGregor Rd - North,site qa
,,McGregor Road South,dynamic,McGregor Rd - South,rock beaching,site qa
,,HKWRR North,dynamic,rock beaching,hkwrr north,site qa
,,HKWRR South,dynamic,rock beaching,site qa,hkwrr south
,Columns,,,,,
,,Lot Map,Lot map,1.1.1 - Lot Map,1.0 Pre-start activities,
,,Signed Hold Points,,AUTHORITY HOLDPOINT,,
,,Enviromental Permit,Environmental permit,1.1.2 - Environmental Permit,1.0 Pre-start activities,
,,NCR,NCR raised?,4.0 Work Lot Close out,Lot Conformance,
,,Lot Status,Lot Status,4.0 Work Lot Close out,Lot Conformance,
,,Lot Opened On,Lot opened date:,4.0 Work Lot Close out,Lot Conformance,
,,Lot Opened By,Lot opened by:,4.0 Work Lot Close out,Lot Conformance,
,,Comments,Comments,4.0 Work Lot Close out,Lot Conformance,
,,,,,,
Conduit and Pit - Lot Register,,,,,,
,Scope,,,site qa,conduit and pit,
,Rows,,,,,
,,McGregor Road North,dynamic,conduit and pit,McGregor Rd - North,site qa
,,McGregor Road South,dynamic,McGregor Rd - South,conduit and pit,site qa
,,HKWRR North,dynamic,conduit and pit,hkwrr north,site qa
,,HKWRR South,dynamic,conduit and pit,site qa,hkwrr south
,Columns,,,,,
,,Lot Map,Lot map,1.1.1 - Lot Map,1.0 Pre-start activities,
,,Signed Hold Points,,AUTHORITY HOLDPOINT,,
,,Enviromental Permit,Environmental permit,1.1.2 - Environmental Permit,1.0 Pre-start activities,
,,NCR,NCR raised?,9.0 Work Lot Close Out,Lot Conformance,
,,Lot Status,Lot Status,9.0 Work Lot Close Out,Lot Conformance,
,,Lot Opened On,Lot opened date:,9.0 Work Lot Close Out,Lot Conformance,
,,Lot Opened By,Lot opened by:,9.0 Work Lot Close Out,Lot Conformance,
,,Comments,Comments,9.0 Work Lot Close Out,Lot Conformance,
