"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fda38c1c-5d5d-4b11-ad51-d7428fea7bc0","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.20.F"
"5ceab2cb-4932-4250-9887-b9f56eacbff5","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.21.E"
"86812118-5a94-4575-b086-bc6ac1c1a164","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.22.D"
"0d49afdb-247b-4213-be33-12ef4945f393","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.23.E"
"0dfc6196-db39-4143-9f85-394e9c208a07","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.24.F"
"644749c7-a35d-454d-8edc-93d912602a9f","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.25.E"
"18564e97-a247-4207-ba5b-078de9f5009c","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.26.E"
"a933b28b-ea4a-4def-a846-9d44385dfba4","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.27.F1"
"07bf00d8-0138-4160-8baf-349117866cd0","","folder-normal","not-started","","step","TRUE","FALSE","Level 02","Townhouse East"
"b5e7862c-5e2d-4ec8-830c-fa689670b812","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.28.H"
"af63ce4c-0847-48bb-907b-8c7ef40bc6d8","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.29.E"
"7add44c8-80e5-473a-8d16-76666ff050a0","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.30.D"
"f7b0d0f9-a1c0-46cb-af32-fc20c83ab320","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.31.E"
"0f5a74ee-2c38-4239-9d1d-22b338a2343a","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.32.F1"
