Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,
Quality - Cable Tray / Ladder,,,,,,,,,,,
,Scope,,,Site QA,,,,,,,
,Rows,,,,,,,,,,
,,Terminal,grouping,Terminal,,,,,,,
,,Basement - Cable Tray - B1.1 - FOCB Pathway 1,,Site QA,Terminal,Lots - Cable Tray & Conduits,Basement - Cable Tray,B1.1,FOCB Pathway 1,,
,,Basement - Cable Tray - B1.2 - FOCB PATHWAY 1,,Site QA,Terminal,Lots - Cable Tray & Conduits,Basement - Cable Tray,B1.2,FOCB PATHWAY 1,,
,,Basement - Cable Tray - B1.2 - FOCB PATHWAY 2 ,,Site QA,Terminal,Lots - Cable Tray & Conduits,Basement - Cable Tray,B1.2,FOCB PATHWAY 2 ,,
,,Basement - Cable Tray - B1.4 - FOCB PATHWAY 2 ,,Site QA,Terminal,Lots - Cable Tray & Conduits,Basement - Cable Tray,B1.4,FOCB PATHWAY 2 ,,
,,Basement - Cable Tray - B1.7 - FOCB PATHWAY 2,,Site QA,Terminal,Lots - Cable Tray & Conduits,Basement - Cable Tray,B1.7,FOCB PATHWAY 2,,
,,Upper Basement - Cable Tray - BU1.1,,Site QA,Terminal,Lots - Cable Tray & Conduits,Upper Basement - Cable Tray,BU1.1,,,
,,Upper Basement - Cable Tray - BU1.2,,Site QA,Terminal,Lots - Cable Tray & Conduits,Upper Basement - Cable Tray,BU1.2,,,
,,Upper Basement - Cable Tray - BU1.3,,Site QA,Terminal,Lots - Cable Tray & Conduits,Upper Basement - Cable Tray,BU1.3,,,
,,Upper Basement - Cable Tray - BU1.4,,Site QA,Terminal,Lots - Cable Tray & Conduits,Upper Basement - Cable Tray,BU1.4,,,
,,Upper Basement - Cable Tray - BU1.5,,Site QA,Terminal,Lots - Cable Tray & Conduits,Upper Basement - Cable Tray,BU1.5,,,
,,Upper Basement - Cable Tray - BU1.6,,Site QA,Terminal,Lots - Cable Tray & Conduits,Upper Basement - Cable Tray,BU1.6,,,
,,Ground Floor - Cable Tray - GF1.1,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF1.1,,,
,,Ground Floor - Cable Tray - GF1.2,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF1.2,,,
,,Ground Floor - Cable Tray - GF1.3,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF1.3,,,
,,Ground Floor - Cable Tray - GF1.4,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF1.4,,,
,,Ground Floor - Cable Tray - GF1.5,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF1.5,,,
,,Ground Floor - Cable Tray - GF1.6,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF1.6,,,
,,Ground Floor - Cable Tray - GF1.7,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF1.7,,,
,,Ground Floor - Cable Tray - GF1.8,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF1.8,,,
,,Ground Floor - Cable Tray - GF1.9,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF1.9,,,
,,Ground Floor - Cable Tray - GF1.10,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF1.10,,,
,,Ground Floor - Cable Tray - GF-PE-1.1,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF-PE-1.1,,,
,,Ground Floor - Cable Tray - GF-PE-1.2,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF-PE-1.2,,,
,,Ground Floor - Cable Tray - GF-PE-1.3,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF-PE-1.3,,,
,,Ground Floor - Cable Tray - GF-PW-1.1,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF-PW-1.1,,,
,,Ground Floor - Cable Tray - GF-PW-1.2,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF-PW-1.2,,,
,,Ground Floor - Cable Tray - GF-PW-1.3,,Site QA,Terminal,Lots - Cable Tray & Conduits,Ground Floor - Cable Tray,GF-PW-1.3,,,
,,Second Floor - SF1.1,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF1.1,,,
,,Second Floor - SF1.2,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF1.2,,,
,,Second Floor - SF1.3,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF1.3,,,
,,Second Floor - SF1.4,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF1.4,,,
,,Second Floor - SF1.5,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF1.5,,,
,,Second Floor - SF1.6,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF1.6,,,
,,Second Floor - SF1.7,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF1.7,,,
,,Second Floor - SF1.8,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF1.8,,,
,,Second Floor - SF1.9,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF1.9,,,
,,Second Floor - SF1.10,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF1.10,,,
,,Second Floor - SF-PE-1.1,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF-PE-1.1,,,
,,Second Floor - SF-PE-1.2,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF-PE-1.2,,,
,,Second Floor - SF-PE-1.3,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF-PE-1.3,,,
,,Second Floor - SF-PW-1.1,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF-PW-1.1,,,
,,Second Floor - SF-PW-1.2,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF-PW-1.2,,,
,,Second Floor - SF-PW-1.3,,Site QA,Terminal,Lots - Cable Tray & Conduits,Second Floor,SF-PW-1.3,,,
,,Landside - LV and ICN Conduit Install - Switchrooms - Pier East - Cable Tray / Ladder,,Site QA,Terminal,Lots - Cable Tray & Conduits,Landside,LV and ICN Conduit Install,Switchrooms,Pier East,Cable Tray / Ladder
,,Landside - LV and ICN Conduit Install - Switchrooms - Pier West - Cable Tray / Ladder,,Site QA,Terminal,Lots - Cable Tray & Conduits,Landside,LV and ICN Conduit Install,Switchrooms,Pier West,Cable Tray / Ladder
,,Landside - LV and ICN Conduit Install - Switchrooms - Car park - Cable Tray / Ladder,,Site QA,Terminal,Lots - Cable Tray & Conduits,Landside,LV and ICN Conduit Install,Switchrooms,Car park,Cable Tray / Ladder
,,TERS,grouping,TERS,,,,,,,
,,TER 1 - Cable Tray / Ladder,,Site QA,TERS,Lots - Cable Tray & Conduits,TER 1,Cable Tray / Ladder,,,
,,TER 2 - Cable Tray / Ladder,,Site QA,TERS,Lots - Cable Tray & Conduits,TER 2,Cable Tray / Ladder,,,
,,Fuel Farm,grouping,Fuel Farm,,,,,,,
,,Building 2.01 - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Building 2.01,Cable Tray / Ladder,,,
,,Building 2.02 - Cable Tray Building 2.02,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Building 2.02,Cable Tray Building 2.02,,,
,,Building 2.03 - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Building 2.03,Cable Tray / Ladder,,,
,,Building 2.04 - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Building 2.04,Cable Tray / Ladder,,,
,,Building 2.05 - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Building 2.05,Cable Tray / Ladder,,,
,,Building 2.06 - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Building 2.06,Cable Tray / Ladder,,,
,,Building 2.07 - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Building 2.07,Cable Tray / Ladder,,,
,,Building 2.08 - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Building 2.08,Cable Tray / Ladder,,,
,,Building 3.03 - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Building 3.03,Cable Tray / Ladder,,,
,,Building 3.06 - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Building 3.06,Cable Tray / Ladder,,,
,,Fire Water Tanks - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Fire Water Tanks,Cable Tray / Ladder,,,
,,Diesel Tank - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Diesel Tank,Cable Tray / Ladder,,,
,,Generator Pad - Cable Tray / Ladder,,Site QA,Fuel Farm,Lots - Cable Tray & Conduits,Generator Pad,Cable Tray / Ladder,,,
