Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Testing & Commissioning - Main Switchboards (Pre-Energisation/Energised),,,,,,,,,,
,Scope,,,Testing & Commissioning,Main Switchboards,,,,,
,Rows,,,,,,,,,
,,Terminal - Main Switchboards,grouping,Terminal - Main Switchboards,,,,,,
,,EL-MSBE-01-301 (T1) - WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBE-01-301 (T1),Main Switchboards,WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),
,,EL-MSBE-01-301 (T1) - WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBE-01-301 (T1),Main Switchboards,WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),
,,EL-MSBN-01-301 (T1) - WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBN-01-301 (T1),Main Switchboards,WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),
,,EL-MSBN-01-301 (T1) - WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBN-01-301 (T1),Main Switchboards,WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),
,,EL-MSBE-01-401 (T2) - WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBE-01-401 (T2),Main Switchboards,WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),
,,EL-MSBE-01-401 (T2) - WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBE-01-401 (T2),Main Switchboards,WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),
,,EL-MSBN-01-401 (T2) - WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBN-01-401 (T2),Main Switchboards,WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),
,,EL-MSBN-01-401 (T2) - WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBN-01-401 (T2),Main Switchboards,WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),
,,EL-MSB-01-203 (T3) - WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSB-01-203 (T3),Main Switchboards,WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),
,,EL-MSB-01-203 (T3) - WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSB-01-203 (T3),Main Switchboards,WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),
,,EL-MSBE-01-203 (T3) - WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBE-01-203 (T3),Main Switchboards,WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),
,,EL-MSBE-01-203 (T3) - WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBE-01-203 (T3),Main Switchboards,WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),
,,EL-MSBN-01-203 (T3) - WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBN-01-203 (T3),Main Switchboards,WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),
,,EL-MSBN-01-203 (T3) - WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBN-01-203 (T3),Main Switchboards,WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),
,,EL-MSB-01-201 (PC) - WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSB-01-201 (PC),Main Switchboards,WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),
,,EL-MSB-01-201 (PC) - WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSB-01-201 (PC),Main Switchboards,WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),
,,EL-MSBE-01-201 (PC) - WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),,Testing & Commissioning,Terminal,Main Switchboards,EL-MSBE-01-201 (PC),Main Switchboards,WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),
