type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Rock Variation (Australian Standard Method of Measurement),,,,,,Rock Variation (Australian Standard Method of Measurement)
checkpoint-no-status,Rock Variation,,,,,,
text,Trench depth (m),,,,,,
text,Top of rock depth (m),,,,,,
text,Trench length (m),,,,,,
text,Pipe OD (mm),,,,,,
checkpoint,Drawing mark up of rock location,,,,,,
checkpoint,Photo of top of rock in trench and depth measurement,,,,,,
checkpoint,Photo of breaker in trench,,,,,,
checkpoint,Photo of fully excavated trench and full trench depth measurement,,,,,,
checkpoint,Photo of rock trench length with measurement,,,,,,
checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,
label,Passing above includes Builder sign-off,,,,,,
bool,Area clean,,,,,,
