"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3c927ac3-402b-4a4f-be42-dbffa3fab547","","work-in-progress","","folder","TRUE","FALSE","Accessways"
"bc619e85-3c54-4df5-95eb-43dc403f6684","","work-in-progress","ITP - Accessways","checklist","FALSE","FALSE","Accessways","ITP Loop Accessway East"
"5c74563d-8706-4084-9bf8-667aa542ede3","","work-in-progress","ITP - Accessways","checklist","FALSE","FALSE","Accessways","ITP Loop Accessway West"
"8bc08907-347a-40cc-b1d7-641a50e1c97c","","work-in-progress","ITP - Accessways","checklist","FALSE","FALSE","Accessways","ITP Gorge Road Accessway East"
"fcc1bb00-d725-4d67-be40-4c7f493d79f0","","work-in-progress","ITP - Accessways","checklist","FALSE","FALSE","Accessways","ITP Gorge Road Accessway West"
"2dca1ed3-d69e-48ef-9ded-5df54cdc1e68","","not-started","","folder","TRUE","FALSE","Inverters"
"0077764a-4cc7-4664-8042-af07479c2869","","not-started","ITP - Inverter Foundations","checklist","FALSE","FALSE","Inverters","ITP #1 Inverter Foundations"
"e006fd3e-b580-4c53-8d8b-f20df23a347e","","not-started","ITP - Inverter Foundations","checklist","FALSE","FALSE","Inverters","ITP #2 Inverter Foundations"
"788ea002-4588-4fc6-a54c-ffe78579a31a","","not-started","ITP - Inverter Foundations","checklist","FALSE","FALSE","Inverters","ITP #3 Inverter Foundations"
"088c982d-d6f1-4fff-96cf-d141f62129e7","","not-started","ITP - Inverter Foundations","checklist","FALSE","FALSE","Inverters","ITP #4 Inverter Foundations"
"177f2a15-7655-4b48-8591-0572324f8753","","not-started","","folder","TRUE","FALSE","Laydowns & Multipurpose Areas"
"658853fc-f9d1-4dbb-b74e-ad6e3b0488ba","","not-started","ITP - Laydowns","checklist","FALSE","FALSE","Laydowns & Multipurpose Areas","ITP #3 Laydown"
"265fd1bd-16a8-402d-8859-0bf89128f814","","not-started","ITP - Laydowns","checklist","FALSE","FALSE","Laydowns & Multipurpose Areas","ITP #10 Turning Bay"
"58038114-e68b-4f4e-9cb2-f3ea919c38c3","","not-started","ITP - Laydowns","checklist","FALSE","FALSE","Laydowns & Multipurpose Areas","ITP #9 Laydown"
"3bc829c3-feda-4dde-8482-c751f926f735","","not-started","ITP - Laydowns","checklist","FALSE","FALSE","Laydowns & Multipurpose Areas","ITP #12 Multipurpose Area"
"af2f3935-b8b3-41e7-ac6f-fa563f9fa2fc","","not-started","ITP - Laydowns","checklist","FALSE","FALSE","Laydowns & Multipurpose Areas","ITP #5 Laydown"
"ecda21d1-17c3-4e7a-bb48-1c687669d26f","","not-started","ITP - Laydowns","checklist","FALSE","FALSE","Laydowns & Multipurpose Areas","ITP #1 Laydown at SFRMU"
"e7eee683-1d4a-4fd0-9898-21d82c0c45e7","","not-started","ITP - Laydowns","checklist","FALSE","FALSE","Laydowns & Multipurpose Areas","ITP #14 Multipurpose Area"
"2e040fae-198f-45f8-a2d0-ba005bbeec54","","not-started","ITP - Laydowns","checklist","FALSE","FALSE","Laydowns & Multipurpose Areas","ITP #13 Multipurpose Area"
"470a07de-3ace-4053-bba1-218ea38b7f27","","no-status-not-started","","folder","TRUE","FALSE","Lightpole Foundations"
