"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"78df6898-0fc4-4731-8bd1-7d63348820f0","","folder-normal","","","step","TRUE","FALSE","Ground Floor"
"22d641bf-8049-4dc5-bcae-29cec67f4eb9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C01"
"d3074f78-471d-48d7-b08f-1ce5e4d288c9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C02"
"3db83f3d-21dc-43b7-b782-ce8be20ca858","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C03"
"59c9a8a1-55ed-472f-9b20-4d28f5414720","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C04"
"6e7ebbf6-fda0-458f-9b29-8cacde09789f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C05"
"58ce1f08-382e-40d3-a5bb-5a6168000822","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C06"
"4233749c-298c-4a3d-b26b-387bd0634dc5","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C07"
"7e31259d-c8a4-41ad-9f25-c346534a9cd4","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C08"
"708461f9-77e5-44f0-9f3b-7f464b5b9c41","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C09"
"6d18ac95-7b3d-4f9a-9673-61eb957b5c0e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C10"
"9a6b8d66-1525-4f48-92ce-c151be689f8d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C11"
"ff99d890-23d3-4312-809f-ce244db69c8d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C12"
"e4154564-3044-45ab-b7a3-353313992a7c","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C13"
"9c3a9be2-5b69-458e-b54b-cb20c309a3e5","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C14"
"1cce2b48-0326-47da-95b7-a99fcff73906","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C15"
"11da045c-1509-4fe4-ab41-866cc05c9e7f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C16"
"d584cb86-8314-4e1d-8582-8bfa7e308739","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C17"
"3c3665ad-4b03-4d50-906e-a4701285fa96","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C18"
"284a22e5-26e8-4c71-8b91-e7d18477f183","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C19"
"35ebe140-b916-41d0-a803-0dc85d1b4f21","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C20"
"6f06dfac-8f63-46bb-ba10-10e7d2cc30fe","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C21"
"79bfdcb3-e7ca-4ff6-a4bf-06e9ead173bc","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C22"
"e597d552-7241-413d-92f7-cccb19d2acd3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C23"
"1875c716-ccce-4a43-8f23-bbc49f4602bd","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C24"
"07d7c3ba-aa46-452c-9b1a-683cd8d78bdd","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C25"
"f15122c6-5d8c-403b-83ff-da676f8c1731","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C26"
"1b44eb09-41f8-4b00-b989-85e3befd6446","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C27"
"8aee792a-07c0-4f97-8dbb-ce01f6417a4b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C28"
"c9b622c7-dfc5-4958-a58e-dc3bfe597f75","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C29"
"54b3e01d-2e04-4531-b1d7-fb62333c1e36","","folder-normal","","","step","TRUE","FALSE","Level 1"
"e85da51c-fa78-4f43-9cf6-7d2ecf09c62a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 1","L1-C30"
"492c83a6-99cb-4ad4-b30e-0b1c6fea7079","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 1","L1-C31"
